# Num sources, Num seconds, time(sec)
9, 1.0, 0.6
9, 1.0, 9.0
9, 1.0, 10.3
9, 1.0, 10.9
9, 1.0, 11.2
9, 1.0, 12.1
9, 1.0, 12.3
9, 1.0, 13.8
9, 1.0, 13.9
9, 1.0, 14.1
9, 1.0, 15.5
9, 1.0, 19.8
9, 1.0, 16.1
9, 1.0, 16.7
100, 1.0, 19.3
9, 1.0, 16.1
9, 1.0, 16.3
9, 1.0, 17.0
9, 1.0, 16.4
9, 1.0, 18.2
9, 1.0, 18.1
9, 1.0, 18.3
9, 1.0, 18.6
9, 1.0, 18.9
9, 1.0, 18.8
9, 1.0, 19.1
9, 1.0, 19.4
9, 1.0, 21.5
9, 1.0, 18.6
9, 1.0, 23.0
9, 1.0, 20.9
100, 1.0, 0.3
100, 1.0, 0.3
9, 1.0, 21.0
9, 1.0, 21.1
100, 1.0, 0.4
100, 1.0, 18.3
9, 1.0, 23.8
9, 1.0, 21.7
9, 1.0, 21.7
9, 1.0, 22.9
100, 1.0, 11.4
100, 1.0, 11.3
100, 1.0, 9.8
100, 1.0, 12.7
100, 1.0, 17.0
100, 1.0, 17.5
9, 1.0, 27.5
100, 1.0, 9.7
100, 1.0, 10.9
9, 1.0, 32.7
100, 1.0, 11.3
100, 1.0, 9.2
100, 1.0, 12.1
100, 1.0, 16.3
100, 1.0, 18.1
100, 1.0, 10.1
100, 1.0, 14.7
100, 1.0, 17.1
100, 1.0, 11.3
100, 1.0, 11.4
1024, 1.0, 16.4
100, 1.0, 23.3
100, 1.0, 19.9
100, 1.0, 14.6
100, 1.0, 15.5
1024, 1.0, 11.8
1024, 1.0, 15.2
100, 1.0, 14.9
100, 1.0, 20.0
100, 1.0, 21.1
100, 1.0, 18.6
100, 1.0, 20.9
100, 1.0, 19.6
100, 1.0, 22.5
1024, 1.0, 16.6
9, 1.0, 44.7
1024, 1.0, 20.8
1024, 1.0, 15.3
100, 1.0, 22.6
1024, 1.0, 11.5
100, 1.0, 25.1
1024, 1.0, 20.8
1024, 1.0, 9.0
1024, 1.0, 12.7
1024, 1.0, 21.8
100, 1.0, 18.1
1024, 1.0, 11.5
1024, 1.0, 12.3
1024, 1.0, 13.6
100, 1.0, 26.3
1024, 1.0, 22.2
1024, 1.0, 12.4
100, 1.0, 18.3
1024, 1.0, 25.2
1024, 1.0, 20.0
1024, 1.0, 21.9
1024, 1.0, 19.4
1024, 1.0, 20.0
1024, 1.0, 21.9
1024, 1.0, 10.6
1024, 1.0, 24.8
1024, 1.0, 13.6
1024, 1.0, 20.0
1024, 1.0, 22.4
1024, 1.0, 11.5
1024, 1.0, 32.5
1024, 1.0, 22.6
1024, 1.0, 19.5
1024, 1.0, 20.1
1024, 1.0, 20.0
1024, 1.0, 21.0
100, 1.0, 20.3
1024, 1.0, 31.5
1024, 1.0, 22.1
1024, 1.0, 23.2
1024, 1.0, 21.3
10000, 1.0, 39.4
1024, 1.0, 21.3
10000, 1.0, 39.0
10000, 1.0, 45.2
10000, 1.0, 45.5
10000, 1.0, 37.8
10000, 1.0, 40.5
1024, 1.0, 18.3
10000, 1.0, 38.4
10000, 1.0, 37.9
10000, 1.0, 44.4
10000, 1.0, 45.7
10000, 1.0, 40.1
10000, 1.0, 37.7
10000, 1.0, 41.9
10000, 1.0, 47.4
10000, 1.0, 45.3
10000, 1.0, 35.0
10000, 1.0, 49.5
10000, 1.0, 39.0
10000, 1.0, 48.7
10000, 1.0, 44.5
10000, 1.0, 46.7
10000, 1.0, 46.2
10000, 1.0, 45.9
10000, 1.0, 46.0
10000, 1.0, 46.2
10000, 1.0, 45.1
10000, 1.0, 45.2
10000, 1.0, 44.8
10000, 1.0, 46.5
10000, 1.0, 50.7
10000, 1.0, 45.9
10000, 1.0, 47.2
10000, 1.0, 49.7
10000, 1.0, 53.5
10000, 1.0, 45.3
10000, 1.0, 46.0
10000, 1.0, 47.6
10000, 1.0, 45.6
10000, 1.0, 58.4
10000, 1.0, 44.9
9, 6.0, 58.6
9, 6.0, 56.2
9, 6.0, 54.1
9, 6.0, 62.2
9, 6.0, 63.1
9, 6.0, 65.7
9, 6.0, 60.8
9, 6.0, 56.1
9, 6.0, 60.3
9, 6.0, 69.3
9, 6.0, 61.7
9, 6.0, 52.2
9, 6.0, 61.3
9, 6.0, 67.8
9, 6.0, 68.6
9, 6.0, 70.4
9, 6.0, 57.2
9, 6.0, 63.2
9, 6.0, 66.3
9, 6.0, 57.5
9, 6.0, 63.1
9, 6.0, 66.5
9, 6.0, 55.9
9, 6.0, 76.3
9, 6.0, 62.2
9, 6.0, 76.6
9, 6.0, 62.2
9, 6.0, 55.4
9, 6.0, 61.4
9, 6.0, 59.6
9, 6.0, 55.5
9, 6.0, 69.8
9, 6.0, 55.8
9, 6.0, 76.5
9, 6.0, 61.3
9, 6.0, 57.8
9, 6.0, 52.8
9, 6.0, 68.8
9, 6.0, 71.8
100, 6.0, 57.7
9, 6.0, 100.2
100, 6.0, 56.9
100, 6.0, 57.2
100, 6.0, 60.9
100, 6.0, 58.8
100, 6.0, 61.1
100, 6.0, 54.1
100, 6.0, 56.3
100, 6.0, 60.1
100, 6.0, 67.5
100, 6.0, 43.4
100, 6.0, 62.1
100, 6.0, 58.9
100, 6.0, 67.0
100, 6.0, 63.2
100, 6.0, 56.0
100, 6.0, 57.1
100, 6.0, 65.4
100, 6.0, 60.8
100, 6.0, 71.3
100, 6.0, 64.5
100, 6.0, 64.6
100, 6.0, 61.2
100, 6.0, 67.2
100, 6.0, 63.0
100, 6.0, 60.3
100, 6.0, 69.1
100, 6.0, 57.3
100, 6.0, 54.8
100, 6.0, 68.6
100, 6.0, 64.9
100, 6.0, 59.8
100, 6.0, 73.8
100, 6.0, 62.7
100, 6.0, 56.8
100, 6.0, 59.4
100, 6.0, 68.1
100, 6.0, 80.6
100, 6.0, 62.9
100, 6.0, 70.6
1024, 6.0, 66.2
1024, 6.0, 72.3
1024, 6.0, 66.7
1024, 6.0, 73.5
1024, 6.0, 76.5
1024, 6.0, 70.2
1024, 6.0, 58.9
1024, 6.0, 71.8
1024, 6.0, 72.4
1024, 6.0, 78.4
1024, 6.0, 67.7
1024, 6.0, 69.0
1024, 6.0, 78.7
1024, 6.0, 79.9
1024, 6.0, 71.0
1024, 6.0, 75.5
1024, 6.0, 71.6
1024, 6.0, 81.4
1024, 6.0, 77.7
1024, 6.0, 68.2
1024, 6.0, 71.0
1024, 6.0, 68.2
1024, 6.0, 69.1
1024, 6.0, 65.7
1024, 6.0, 74.4
1024, 6.0, 73.0
1024, 6.0, 72.4
1024, 6.0, 83.6
1024, 6.0, 69.4
1024, 6.0, 71.1
1024, 6.0, 68.9
1024, 6.0, 73.2
1024, 6.0, 83.7
1024, 6.0, 79.5
1024, 6.0, 71.2
1024, 6.0, 83.2
1024, 6.0, 89.4
1024, 6.0, 73.6
1024, 6.0, 85.9
1024, 6.0, 71.9
10000, 6.0, 226.3
10000, 6.0, 228.8
10000, 6.0, 229.3
10000, 6.0, 227.0
10000, 6.0, 226.7
10000, 6.0, 218.1
10000, 6.0, 231.1
10000, 6.0, 230.7
10000, 6.0, 230.4
10000, 6.0, 224.7
10000, 6.0, 227.6
10000, 6.0, 232.5
10000, 6.0, 226.1
10000, 6.0, 227.2
10000, 6.0, 223.0
10000, 6.0, 235.2
10000, 6.0, 245.4
10000, 6.0, 227.7
10000, 6.0, 230.2
10000, 6.0, 244.9
10000, 6.0, 251.2
10000, 6.0, 231.1
10000, 6.0, 226.5
10000, 6.0, 228.3
10000, 6.0, 242.7
10000, 6.0, 221.9
10000, 6.0, 238.3
10000, 6.0, 236.0
10000, 6.0, 240.6
10000, 6.0, 226.6
10000, 6.0, 225.6
10000, 6.0, 225.3
10000, 6.0, 240.7
10000, 6.0, 237.2
10000, 6.0, 221.2
10000, 6.0, 223.5
10000, 6.0, 226.1
10000, 6.0, 242.5
10000, 6.0, 223.4
10000, 6.0, 264.3
9, 60.0, 415.0
9, 60.0, 470.7
9, 60.0, 458.2
9, 60.0, 475.9
9, 60.0, 460.7
9, 60.0, 462.9
9, 60.0, 481.8
9, 60.0, 475.8
9, 60.0, 459.9
9, 60.0, 464.1
9, 60.0, 470.8
100, 60.0, 0.6
9, 60.0, 470.7
9, 60.0, 458.8
9, 60.0, 494.7
9, 60.0, 517.2
9, 60.0, 488.2
9, 60.0, 465.5
9, 60.0, 474.1
9, 60.0, 487.4
9, 60.0, 475.3
9, 60.0, 489.0
9, 60.0, 479.6
9, 60.0, 497.4
9, 60.0, 479.8
9, 60.0, 513.9
9, 60.0, 508.8
9, 60.0, 547.7
9, 60.0, 500.4
9, 60.0, 524.6
9, 60.0, 517.9
9, 60.0, 558.3
9, 60.0, 547.8
9, 60.0, 545.6
9, 60.0, 535.1
9, 60.0, 548.4
9, 60.0, 587.0
9, 60.0, 606.4
9, 60.0, 581.7
9, 60.0, 642.4
9, 60.0, 653.6
100, 60.0, 485.1
100, 60.0, 484.5
100, 60.0, 432.8
100, 60.0, 478.5
100, 60.0, 477.6
100, 60.0, 498.3
100, 60.0, 497.8
100, 60.0, 473.7
100, 60.0, 497.2
100, 60.0, 517.8
100, 60.0, 508.4
100, 60.0, 470.4
100, 60.0, 495.2
100, 60.0, 474.4
100, 60.0, 480.7
100, 60.0, 506.6
100, 60.0, 527.7
100, 60.0, 511.8
100, 60.0, 475.4
100, 60.0, 475.4
100, 60.0, 498.9
100, 60.0, 499.8
100, 60.0, 497.6
100, 60.0, 499.2
100, 60.0, 470.0
100, 60.0, 506.4
100, 60.0, 520.0
100, 60.0, 532.5
1024, 60.0, 591.9
100, 60.0, 500.1
100, 60.0, 589.3
100, 60.0, 609.9
100, 60.0, 573.8
100, 60.0, 501.0
100, 60.0, 524.9
100, 60.0, 476.3
100, 60.0, 475.9
100, 60.0, 670.2
100, 60.0, 682.7
100, 60.0, 741.9
1024, 60.0, 602.0
1024, 60.0, 592.1
1024, 60.0, 592.8
1024, 60.0, 594.2
1024, 60.0, 612.7
1024, 60.0, 590.5
1024, 60.0, 598.5
1024, 60.0, 599.9
1024, 60.0, 629.3
1024, 60.0, 630.0
1024, 60.0, 607.7
1024, 60.0, 620.8
1024, 60.0, 580.6
1024, 60.0, 616.9
1024, 60.0, 637.4
1024, 60.0, 650.7
1024, 60.0, 608.5
1024, 60.0, 634.5
1024, 60.0, 597.3
1024, 60.0, 615.3
1024, 60.0, 593.2
1024, 60.0, 676.9
1024, 60.0, 628.1
1024, 60.0, 606.9
1024, 60.0, 599.4
1024, 60.0, 592.9
1024, 60.0, 656.8
1024, 60.0, 583.1
1024, 60.0, 656.4
1024, 60.0, 638.5
1024, 60.0, 621.8
1024, 60.0, 591.8
1024, 60.0, 637.3
1024, 60.0, 599.6
1024, 60.0, 628.6
1024, 60.0, 619.0
1024, 60.0, 607.1
1024, 60.0, 608.7
1024, 60.0, 618.0
10000, 60.0, 2133.5
9, 600.0, 0.4
100, 600.0, 0.3
1024, 600.0, 0.3
10000, 600.0, 0.4
9, 1200.0, 0.3
100, 1200.0, 0.3
1024, 1200.0, 0.3
10000, 1200.0, 0.4
10000, 60.0, 2136.3
9, 600.0, 0.4
10000, 60.0, 2122.0
100, 600.0, 0.3
9, 600.0, 0.4
1024, 600.0, 0.3
100, 600.0, 0.3
10000, 600.0, 0.4
1024, 600.0, 0.4
9, 1200.0, 0.3
10000, 600.0, 0.4
100, 1200.0, 0.4
1024, 1200.0, 0.3
9, 1200.0, 0.3
100, 1200.0, 0.3
10000, 1200.0, 0.4
1024, 1200.0, 0.4
10000, 1200.0, 0.4
10000, 60.0, 2162.0
9, 600.0, 0.4
100, 600.0, 0.4
10000, 60.0, 2135.4
10000, 60.0, 2153.7
1024, 600.0, 0.3
10000, 60.0, 2154.2
9, 600.0, 0.4
9, 600.0, 0.4
10000, 600.0, 0.4
9, 600.0, 0.4
100, 600.0, 0.4
100, 600.0, 0.3
9, 1200.0, 0.3
100, 600.0, 0.3
1024, 600.0, 0.3
1024, 600.0, 0.3
100, 1200.0, 0.3
1024, 600.0, 0.3
10000, 600.0, 0.4
10000, 600.0, 0.4
1024, 1200.0, 0.3
10000, 600.0, 0.4
9, 1200.0, 0.3
9, 1200.0, 0.3
10000, 1200.0, 0.4
9, 1200.0, 0.3
100, 1200.0, 0.3
100, 1200.0, 0.3
100, 1200.0, 0.3
10000, 60.0, 2131.7
1024, 1200.0, 0.3
1024, 1200.0, 0.3
1024, 1200.0, 0.3
9, 600.0, 0.4
10000, 1200.0, 0.4
10000, 1200.0, 0.4
10000, 1200.0, 0.4
100, 600.0, 0.3
1024, 600.0, 0.4
10000, 600.0, 0.4
9, 1200.0, 0.3
10000, 60.0, 2139.1
100, 1200.0, 0.3
9, 600.0, 0.4
1024, 1200.0, 0.3
100, 600.0, 0.3
10000, 60.0, 2135.9
10000, 1200.0, 0.4
1024, 600.0, 0.3
9, 600.0, 0.4
10000, 600.0, 0.4
100, 600.0, 0.3
9, 1200.0, 0.3
1024, 600.0, 0.4
100, 1200.0, 0.4
10000, 600.0, 0.4
1024, 1200.0, 0.3
9, 1200.0, 0.4
10000, 60.0, 2161.3
10000, 1200.0, 0.4
100, 1200.0, 0.3
9, 600.0, 0.4
100, 600.0, 0.3
1024, 1200.0, 0.4
10000, 60.0, 2132.2
1024, 600.0, 0.3
10000, 1200.0, 0.4
9, 600.0, 0.4
10000, 600.0, 0.4
100, 600.0, 0.3
9, 1200.0, 0.3
1024, 600.0, 0.3
10000, 60.0, 2186.9
100, 1200.0, 0.3
10000, 600.0, 0.4
1024, 1200.0, 0.3
9, 600.0, 0.4
9, 1200.0, 0.3
10000, 1200.0, 0.4
100, 600.0, 0.3
100, 1200.0, 0.3
1024, 600.0, 0.4
1024, 1200.0, 0.3
10000, 60.0, 2160.2
10000, 600.0, 0.4
10000, 1200.0, 0.4
9, 600.0, 0.4
10000, 60.0, 2151.4
9, 1200.0, 0.3
100, 600.0, 0.3
10000, 60.0, 2172.5
9, 600.0, 0.4
100, 1200.0, 0.3
1024, 600.0, 0.3
10000, 60.0, 2221.8
100, 600.0, 0.3
9, 600.0, 0.4
1024, 1200.0, 0.3
10000, 600.0, 0.4
10000, 60.0, 2161.0
1024, 600.0, 0.3
100, 600.0, 0.3
9, 600.0, 0.4
10000, 1200.0, 0.4
9, 1200.0, 0.3
9, 600.0, 0.4
1024, 600.0, 0.3
100, 600.0, 0.3
10000, 600.0, 0.4
100, 1200.0, 0.3
10000, 60.0, 2162.4
100, 600.0, 0.3
1024, 600.0, 0.3
10000, 600.0, 0.4
9, 1200.0, 0.3
1024, 1200.0, 0.3
9, 600.0, 0.4
1024, 600.0, 0.3
10000, 600.0, 0.4
100, 1200.0, 0.3
9, 1200.0, 0.3
10000, 60.0, 2158.5
10000, 60.0, 2153.2
10000, 1200.0, 0.4
100, 600.0, 0.3
10000, 600.0, 0.4
9, 1200.0, 0.3
1024, 1200.0, 0.3
100, 1200.0, 0.3
1024, 600.0, 0.3
9, 600.0, 0.4
9, 600.0, 0.4
9, 1200.0, 0.3
100, 1200.0, 0.3
10000, 1200.0, 0.4
10000, 60.0, 2169.4
10000, 600.0, 0.4
1024, 1200.0, 0.3
100, 1200.0, 0.3
1024, 1200.0, 0.3
100, 600.0, 0.3
100, 600.0, 0.3
9, 600.0, 0.4
10000, 60.0, 2204.1
9, 1200.0, 0.3
10000, 1200.0, 0.4
1024, 1200.0, 0.3
10000, 1200.0, 0.4
