# Num sources, Num seconds, time(sec)
100, 1.0, 18.8
100, 1.0, 22.9
9, 1.0, 32.4
9, 1.0, 33.3
1024, 1.0, 12.1
1024, 1.0, 21.4
100, 1.0, 14.4
100, 1.0, 14.2
10000, 1.0, 9.8
10000, 1.0, 10.7
1024, 1.0, 8.3
1024, 1.0, 14.0
9, 6.0, 9.8
9, 6.0, 19.6
10000, 1.0, 12.7
10000, 1.0, 6.7
9, 6.0, 12.4
100, 6.0, 18.9
100, 6.0, 16.1
9, 6.0, 14.6
1024, 6.0, 9.7
100, 6.0, 16.6
100, 6.0, 13.9
1024, 6.0, 15.1
10000, 6.0, 16.4
1024, 6.0, 15.4
1024, 6.0, 14.6
10000, 6.0, 14.6
10000, 6.0, 18.7
10000, 6.0, 26.9
9, 60.0, 64.1
9, 60.0, 75.5
9, 60.0, 63.4
9, 60.0, 63.6
100, 60.0, 67.4
100, 60.0, 75.9
100, 60.0, 57.2
100, 60.0, 71.9
1024, 60.0, 58.1
1024, 60.0, 70.3
1024, 60.0, 79.8
1024, 60.0, 62.6
10000, 60.0, 89.5
10000, 60.0, 108.8
10000, 60.0, 104.3
10000, 60.0, 118.4
9, 600.0, 431.1
9, 600.0, 425.1
9, 600.0, 412.1
9, 600.0, 407.2
100, 600.0, 420.6
100, 600.0, 414.4
100, 600.0, 429.3
100, 600.0, 445.5
1024, 600.0, 451.3
1024, 600.0, 460.1
1024, 600.0, 488.8
1024, 600.0, 487.0
10000, 600.0, 797.4
10000, 600.0, 827.4
10000, 600.0, 861.5
10000, 600.0, 801.1
9, 1200.0, 850.4
9, 1200.0, 811.0
9, 1200.0, 825.7
9, 1200.0, 846.7
100, 1200.0, 829.4
100, 1200.0, 803.9
100, 1200.0, 837.6
100, 1200.0, 855.7
1024, 1200.0, 913.6
1024, 1200.0, 922.0
1024, 1200.0, 895.1
1024, 1200.0, 954.4
10000, 1200.0, 1608.4
10000, 1200.0, 1585.1
10000, 1200.0, 1573.1
10000, 1200.0, 1674.6
